bbox,bbox_area_fraction,bbox_opaque_corner_fraction,bbox_opaque_edge_fraction,bbox_opaque_fill,bbox_visible_corner_fraction,bbox_visible_edge_fraction,bbox_visible_fill,canvas_opaque_fraction,provider,recovery_note,recovery_source_url,recovery_status,satellite_position,service_reference,source,source_reason,source_sha256,source_status
"47,3,173,129",0.546694,0.0,0.0,0.953074,0.75,0.996032,0.999937,0.52104,telenor,,,RECOVERY-SEARCH,0.8w,1_0_2_6BB_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_6BB_3_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,e8df72353b2392061d5318553a94bf72c6f3b6eca0762400211ae1c08f190799,SOURCE-REVIEW
"2,15,218,116",0.75124,0.0,0.0,0.951503,1.0,1.0,1.0,0.714807,neosat,,,RECOVERY-SEARCH,1.9e,1_0_1_221_18_3_130000_0_0_0.png,picons/1.9e/neosat/transparent/1_0_1_221_18_3_130000_0_0_0.png,suspected rectangular raster background in transparent source,beaea1da36c4e5b6a4983b63728904646ccbeb6198db2c7373ec06fe61a6af87,SOURCE-REVIEW
"4,42,215,89",0.341494,0.0,0.0,0.841585,0.75,0.996124,0.999899,0.287397,neosat,,,RECOVERY-SEARCH,1.9e,1_0_1_A7_10_3_130000_0_0_0.png,picons/1.9e/neosat/transparent/1_0_1_A7_10_3_130000_0_0_0.png,suspected rectangular raster background in transparent source,a2d6321d92f135625d2050f0255540840b03b893053662aa3111684af9ca0b75,SOURCE-REVIEW
"16,21,204,110",0.576171,0.0,0.0,0.934736,1.0,1.0,1.0,0.538567,ab-sat,,,RECOVERY-SEARCH,13.0e,1_0_1_5AF_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5AF_170C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,37333658c14ff726ac3469e94164213d5d8dec6b48b036a5a1569f6dfeb60631,SOURCE-REVIEW
"16,17,204,115",0.634435,0.0,0.0,0.934542,1.0,1.0,1.0,0.592906,ab-sat,,,RECOVERY-SEARCH,13.0e,1_0_1_5B1_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B1_170C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,1fe2517ac7170b28b57afaf6fb3cfb0b4aaee98bab0a087030d61d05b79d1ede,SOURCE-REVIEW
"16,35,204,96",0.394904,0.0,0.0,0.930589,1.0,1.0,1.0,0.367493,ab-sat,,,RECOVERY-SEARCH,13.0e,1_0_1_5B2_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B2_170C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,6faa3a4ec842ec6b5baef584e35a987ae99544e93961cf5c872f9e8a014016ed,SOURCE-REVIEW
"16,25,204,106",0.52438,0.0,0.0,0.930391,1.0,1.0,1.0,0.487879,ab-sat,,,RECOVERY-SEARCH,13.0e,1_0_1_5B3_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B3_170C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,0322a80cabefc18c40583c7064041bca21056492e9acc3c18b8444be68f5d246,SOURCE-REVIEW
"16,46,204,85",0.252479,0.0,0.0,0.928532,1.0,1.0,1.0,0.234435,ab-sat,,,RECOVERY-SEARCH,13.0e,1_0_1_5B5_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B5_170C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,117fa37bda66ea42577d89a690314db6873a57d18f379954133b1a2c1599dad5,SOURCE-REVIEW
"16,41,204,91",0.323691,0.0,0.0,0.939574,1.0,1.0,1.0,0.304132,canal-plus,,,RECOVERY-SEARCH,13.0e,1_0_1_1138_2AF8_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_1138_2AF8_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,676377dd307f7a94c5dd8b78175d95db86ed89fcb0e1d071af4420e729c3646d,SOURCE-REVIEW
"16,30,204,102",0.466116,0.0,0.0,0.92435,1.0,1.0,1.0,0.430854,canal-plus,,,RECOVERY-SEARCH,13.0e,1_0_1_13F7_5DC_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_13F7_5DC_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,3a632e71be1e9d8b220e82e61ec666a439ab07d4caf6bb00d656d1c1d8708025,SOURCE-REVIEW
"16,40,204,92",0.336639,0.0,0.0,0.94108,1.0,1.0,1.0,0.316804,canal-plus,,,RECOVERY-SEARCH,13.0e,1_0_1_3ABD_514_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_3ABD_514_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,eb2b82975d2c94d99315c1d734a4bfc2b546f01d3e1760b1a8e1772c748ea45a,SOURCE-REVIEW
"16,42,204,90",0.310744,0.0,0.0,0.937943,1.0,1.0,1.0,0.29146,canal-plus,,,RECOVERY-SEARCH,13.0e,1_0_1_3ABF_514_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_3ABF_514_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,6ab1712fe33ad759529fa987d4ee03df6054f1a4cee31d916455858275d239a5,SOURCE-REVIEW
"16,22,204,109",0.563223,0.0,0.0,0.933725,1.0,1.0,1.0,0.525895,canal-plus,,,RECOVERY-SEARCH,13.0e,1_0_1_3AE9_514_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_3AE9_514_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,bc49242a3f8a34195718463599e916f0b27fd559c48c858d4a9cd3b8bb3ac556,SOURCE-REVIEW
"1,30,219,102",0.540496,0.0,0.0,0.927625,1.0,0.989655,0.986239,0.501377,cyfrowy-polsat,,,RECOVERY-SEARCH,13.0e,1_0_1_1CA5_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_1_1CA5_1CE8_71_820000_0_0_0.png,suspected rectangular raster background in transparent source,338f01effb9fd47fe2e513ab23797a0288c7b9a5eac65a4cf74d35df3695fc5a,SOURCE-REVIEW
"1,30,219,102",0.540496,0.0,0.0,0.927625,1.0,0.989655,0.986239,0.501377,cyfrowy-polsat,,,RECOVERY-SEARCH,13.0e,1_0_1_1CA6_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_1_1CA6_1CE8_71_820000_0_0_0.png,suspected rectangular raster background in transparent source,3f281cdacf5480a8d1298c5adef9643efe15de4ec6750f269b99d5a87cf56d1d,SOURCE-REVIEW
"16,35,204,97",0.401377,0.0,0.0,0.921414,1.0,0.988,0.984043,0.369835,cyfrowy-polsat,,,RECOVERY-SEARCH,13.0e,1_0_2_1C9B_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_2_1C9B_1CE8_71_820000_0_0_0.png,suspected rectangular raster background in transparent source,83154c5ebfc99e2796d3b3c07d660b6ff85173b2bc9213e08b162e023470015a,SOURCE-REVIEW
"16,35,204,97",0.401377,0.0,0.0,0.921414,1.0,0.988,0.98919,0.369835,cyfrowy-polsat,,,RECOVERY-SEARCH,13.0e,1_0_2_1C9C_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_2_1C9C_1CE8_71_820000_0_0_0.png,suspected rectangular raster background in transparent source,b158777ffbf6fd3713ff805ac91d46d882ce7eec8a6813e924b0739246febc24,SOURCE-REVIEW
"16,40,204,92",0.336639,0.0,0.0,0.94108,1.0,1.0,1.0,0.316804,cyfrowy-polsat-s-a,,,RECOVERY-SEARCH,13.0e,1_0_1_C22_1E78_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat-s-a/transparent/1_0_1_C22_1E78_71_820000_0_0_0.png,suspected rectangular raster background in transparent source,03d2facd063724017eaec6dccd74d5426f56920cac75b728581f6eeda2fab79a,SOURCE-REVIEW
"4,28,215,103",0.544938,0.0,0.0,0.950648,0.75,0.996503,0.999937,0.518044,cyfrowy-polsat-s-a,,,RECOVERY-SEARCH,13.0e,1_0_2_1CA1_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat-s-a/transparent/1_0_2_1CA1_1CE8_71_820000_0_0_0.png,suspected rectangular raster background in transparent source,edf52508e3dc8fa1c0beabe6119e1e58b49cf043ce879783e661cc4e173573c8,SOURCE-REVIEW
"16,31,204,101",0.453168,0.0,0.0,0.922796,1.0,1.0,1.0,0.418182,eutelsat,,,RECOVERY-SEARCH,13.0e,1_0_1_51E_2E7C_13F_820000_0_0_0.png,picons/13.0e/eutelsat/transparent/1_0_1_51E_2E7C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,fe80f0f7a9a661376f83c32f4f9b4e16110c8ad269b78868906a8f4716fdbafd,SOURCE-REVIEW
"16,42,204,90",0.310744,0.0,0.0,0.913342,1.0,1.0,1.0,0.283815,eutelsat,,,RECOVERY-SEARCH,13.0e,1_0_1_524_2E7C_13F_820000_0_0_0.png,picons/13.0e/eutelsat/transparent/1_0_1_524_2E7C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,ad1f49e44fa2b5d6ef8f41934eb57b45b4ecb4947d6f0669504a282ba030db28,SOURCE-REVIEW
"16,38,204,93",0.356061,0.0,0.0,0.913443,1.0,1.0,1.0,0.325241,eutelsat,,,RECOVERY-SEARCH,13.0e,1_0_1_589_170C_13F_820000_0_0_0.png,picons/13.0e/eutelsat/transparent/1_0_1_589_170C_13F_820000_0_0_0.png,suspected rectangular raster background in transparent source,c51f59c076fb04a78af59419f9a68c73e876a53673196b8dc6a218a738861959,SOURCE-REVIEW
"16,40,204,92",0.336639,0.0,0.0,0.935966,1.0,0.995833,0.994681,0.315083,globecast,,,RECOVERY-SEARCH,13.0e,1_0_1_6AC_3138_13E_820000_0_0_0.png,picons/13.0e/globecast/transparent/1_0_1_6AC_3138_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,9a7e92ce4e6692fac8f3f0411f70cf4d2cf082412b78f7273bc20f2caf02b103,SOURCE-REVIEW
"45,1,175,131",0.581956,0.0,0.0,0.969467,1.0,1.0,1.0,0.564187,harmonic,,,RECOVERY-SEARCH,13.0e,1_0_1_1C56_1C20_13E_820000_0_0_0.png,picons/13.0e/harmonic/transparent/1_0_1_1C56_1C20_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,7656394913b08b9cd78fd56fa3520756cff2ae2862f7360304787eeeaa212a5e,SOURCE-REVIEW
"16,49,204,82",0.213636,0.0,0.0,0.914732,1.0,1.0,1.0,0.19542,kabelio-ch,,,RECOVERY-SEARCH,13.0e,1_0_19_6E_3264_13E_820000_0_0_0.png,picons/13.0e/kabelio-ch/transparent/1_0_19_6E_3264_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,8ca777ceb83494454804658d7e8c34f8ec972052dea24e106a65c0a6f01b09c8,SOURCE-REVIEW
"16,31,204,100",0.446694,0.0,0.0,0.940641,1.0,1.0,1.0,0.420179,kabelio-ch,,,RECOVERY-SEARCH,13.0e,1_0_19_F1_2C24_13E_820000_0_0_0.png,picons/13.0e/kabelio-ch/transparent/1_0_19_F1_2C24_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,90fbef75ba26ef7d875d70417b198a9c828af5ce0d4d444a58f1969e5eef3f61,SOURCE-REVIEW
"29,15,190,117",0.565496,0.0,0.0,0.948849,1.0,1.0,1.0,0.53657,kabelio-ch,,,RECOVERY-SEARCH,13.0e,1_0_1_87_1644_13E_820000_0_0_0.png,picons/13.0e/kabelio-ch/transparent/1_0_1_87_1644_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,51558bf0f714cb1dd6db3aa0aeb830e9eb674b2c3dddd9779365de9c45e481ed,SOURCE-REVIEW
"16,44,204,88",0.284848,0.0,0.0,0.933994,1.0,1.0,1.0,0.266047,m-three-satcom,,,RECOVERY-SEARCH,13.0e,1_0_19_215_384_13E_820000_0_0_0.png,picons/13.0e/m-three-satcom/transparent/1_0_19_215_384_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,a0175d74bf7e8383eb3bb8000b45ccd0bf4b6fd213d294a674679a3d1b421c2a,SOURCE-REVIEW
"16,34,204,98",0.414325,0.0,0.0,0.949551,1.0,1.0,1.0,0.393423,m-three-satcom,,,RECOVERY-SEARCH,13.0e,1_0_19_216_384_13E_820000_0_0_0.png,picons/13.0e/m-three-satcom/transparent/1_0_19_216_384_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,85a05247fb302347928afbd6081acb4ca7f6c650192f5d76de8e205c07f838cf,SOURCE-REVIEW
"16,19,204,113",0.60854,0.0,0.0,0.937076,1.0,1.0,1.0,0.570248,m-three-satcom,,,RECOVERY-SEARCH,13.0e,1_0_2_E44_1C20_13E_820000_0_0_0.png,picons/13.0e/m-three-satcom/transparent/1_0_2_E44_1C20_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,99ef7f5dca3d3d6bfeb051c394898597fa4b6ea0bc5999d9a026104a86e571b3,SOURCE-REVIEW
"79,15,140,117",0.214256,0.0,0.0,0.929283,1.0,1.0,1.0,0.199105,schweizer-radio-und-fernsehen,,,RECOVERY-SEARCH,13.0e,1_0_19_4333_300C_13E_820000_0_0_0.png,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_19_4333_300C_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,d30c282c37c03fd0d2117c5f1ac5a0570537e700cffb5976a187901be4c39157,SOURCE-REVIEW
"79,15,140,117",0.214256,0.0,0.0,0.929283,1.0,1.0,1.0,0.199105,schweizer-radio-und-fernsehen,,,RECOVERY-SEARCH,13.0e,1_0_19_4334_300C_13E_820000_0_0_0.png,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_19_4334_300C_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,dfc06998f5df5ecdf8e4ded2207f949246af613cc3503288e95607e61432e3e6,SOURCE-REVIEW
"16,40,204,92",0.336639,0.0,0.0,0.94108,1.0,1.0,1.0,0.316804,stn,,,RECOVERY-SEARCH,13.0e,1_0_1_2332_2328_13E_820000_0_0_0.png,picons/13.0e/stn/transparent/1_0_1_2332_2328_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,c056d5bd8719d55507d4799349cd893ca68e346e03f9a7908b1b2bd0ef1325d3,SOURCE-REVIEW
"16,46,204,85",0.252479,0.0,0.0,0.928532,1.0,1.0,1.0,0.234435,svoboda-satellite,,,RECOVERY-SEARCH,13.0e,1_0_16_69_2FA8_13E_820000_0_0_0.png,picons/13.0e/svoboda-satellite/transparent/1_0_16_69_2FA8_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,90dde6989d3043aa31beb7b85481eba9aec310490366cb68ea9d35d348aa4a34,SOURCE-REVIEW
"59,15,161,117",0.358264,0.0,0.0,0.923106,1.0,1.0,1.0,0.330716,svoboda-satellite,,,RECOVERY-SEARCH,13.0e,1_0_2_CA_2FA8_13E_820000_0_0_0.png,picons/13.0e/svoboda-satellite/transparent/1_0_2_CA_2FA8_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,389f0854f744e208652b143ad56db092234ad98e3af50faed209fafd4b7a7129,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.952948,0.75,0.996032,0.999937,0.520971,swiss-satellite-radio,,,RECOVERY-SEARCH,13.0e,1_0_2_4352_300C_13E_820000_0_0_0.png,picons/13.0e/swiss-satellite-radio/transparent/1_0_2_4352_300C_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,7afe86c48aa10df8209cda4bbd627f4c04d85eb1531ce08769d57647c114ee77,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.952948,0.75,0.996032,0.999937,0.520971,swiss-satellite-radio,,,RECOVERY-SEARCH,13.0e,1_0_2_435F_300C_13E_820000_0_0_0.png,picons/13.0e/swiss-satellite-radio/transparent/1_0_2_435F_300C_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,7afe86c48aa10df8209cda4bbd627f4c04d85eb1531ce08769d57647c114ee77,SOURCE-REVIEW
"16,50,204,82",0.207163,0.0,0.0,0.917553,1.0,1.0,1.0,0.190083,telespazio,,,RECOVERY-SEARCH,13.0e,1_0_1_1325_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1325_33F4_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,96334ad9b8cf67c18d100350d2c388213cd19dcdf1b6026ba4fcf4833852d308,SOURCE-REVIEW
"16,37,204,94",0.369008,0.0,0.0,0.944382,1.0,1.0,1.0,0.348485,telespazio,,,RECOVERY-SEARCH,13.0e,1_0_1_1362_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1362_33F4_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,5c4cdb6fdd11d229eaea26bb4618943ad17f71898d2d85587e10fdd6beeb600d,SOURCE-REVIEW
"16,37,204,94",0.369008,0.0,0.0,0.944382,1.0,1.0,1.0,0.348485,telespazio,,,RECOVERY-SEARCH,13.0e,1_0_1_1364_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1364_33F4_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,ed98cb862c8612f8b2836d195fb238f0ae69365e28f332fc076a534cc0bf4557,SOURCE-REVIEW
"16,20,204,112",0.595592,0.0,0.0,0.93617,1.0,1.0,1.0,0.557576,telespazio,,,RECOVERY-SEARCH,13.0e,1_0_1_1366_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1366_33F4_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,28d36df20172c6e337448f1529afc2877615daa90dcc11891abdafd244fb3d2f,SOURCE-REVIEW
"16,51,204,80",0.187741,0.0,0.0,0.911225,1.0,1.0,1.0,0.171074,telespazio,,,RECOVERY-SEARCH,13.0e,1_0_1_4260_3DB8_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_4260_3DB8_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,2bb27aadcdfcafc0e054502cfd2e407f22b39cad313a8b07ffe59756cbb751e5,SOURCE-REVIEW
"0,46,220,87",0.310606,0.0,0.149425,0.95122,1.0,1.0,1.0,0.295455,telewizja-polska-s-a,,,RECOVERY-SEARCH,13.0e,1_0_1_423A_2F44_13E_820000_0_0_0.png,picons/13.0e/telewizja-polska-s-a/transparent/1_0_1_423A_2F44_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,802f22e7e29710ebba5f24a61f6a0d8aa0bf98f90bafe2f216375ff632e50c34,SOURCE-REVIEW
"16,45,204,86",0.265427,0.0,0.0,0.930981,1.0,1.0,1.0,0.247107,vivacom,,,RECOVERY-SEARCH,13.0e,1_0_16_109_25E4_D5_820000_0_0_0.png,picons/13.0e/vivacom/transparent/1_0_16_109_25E4_D5_820000_0_0_0.png,suspected rectangular raster background in transparent source,ba44d52287a7afdd47e2f73f032f06508298054b88c9ebdf76f521ac3b98923b,SOURCE-REVIEW
"16,19,204,113",0.60854,0.0,0.0,0.937076,1.0,1.0,1.0,0.570248,vivacom,,,RECOVERY-SEARCH,13.0e,1_0_16_6F_251C_D5_820000_0_0_0.png,picons/13.0e/vivacom/transparent/1_0_16_6F_251C_D5_820000_0_0_0.png,suspected rectangular raster background in transparent source,ed7332d2300937c75c255d632a2867b5e9a4652cb37a76108e531ed711c5731f,SOURCE-REVIEW
"16,22,204,109",0.563223,0.0,0.0,0.933725,1.0,1.0,1.0,0.525895,vivacom,,,RECOVERY-SEARCH,13.0e,1_0_16_D2_25E4_D5_820000_0_0_0.png,picons/13.0e/vivacom/transparent/1_0_16_D2_25E4_D5_820000_0_0_0.png,suspected rectangular raster background in transparent source,68e1f168df4e12f8a4bd8150da7459a010caf3e4b13f47a19f0ccf381461e4e8,SOURCE-REVIEW
"16,34,204,97",0.407851,0.0,0.0,0.947653,1.0,1.0,1.0,0.386501,warner-bros-discovery,,,RECOVERY-SEARCH,13.0e,1_0_19_3B62_12C_13E_820000_0_0_0.png,picons/13.0e/warner-bros-discovery/transparent/1_0_19_3B62_12C_13E_820000_0_0_0.png,suspected rectangular raster background in transparent source,1b40cbccd58044097e4a56e3ed2b415befeee83a043dab79dba578308d5ee97f,SOURCE-REVIEW
"5,42,214,90",0.345455,0.0,0.0,0.926435,1.0,0.990272,0.990331,0.320041,rscc,,,RECOVERY-SEARCH,14.0w,1_0_1_1_0_0_D842CDD_0_0_0.png,picons/14.0w/rscc/transparent/1_0_1_1_0_0_D842CDD_0_0_0.png,suspected rectangular raster background in transparent source,a0cd3f98c4fa98826397776d9e5d64f3846fe37bd8daabf84a5678bbda54969b,SOURCE-REVIEW
"5,42,214,90",0.345455,0.0,0.0,0.926435,1.0,0.990272,0.990331,0.320041,rscc,,,RECOVERY-SEARCH,14.0w,1_0_1_1_12_1_D840000_0_0_0.png,picons/14.0w/rscc/transparent/1_0_1_1_12_1_D840000_0_0_0.png,suspected rectangular raster background in transparent source,a0cd3f98c4fa98826397776d9e5d64f3846fe37bd8daabf84a5678bbda54969b,SOURCE-REVIEW
"1,51,219,80",0.2177,0.0,0.0,0.913951,1.0,1.0,1.0,0.198967,a1-broadcasting,,,RECOVERY-SEARCH,16.0e,1_0_19_778_C6D4_16E_A00000_0_0_0.png,picons/16.0e/a1-broadcasting/transparent/1_0_19_778_C6D4_16E_A00000_0_0_0.png,suspected rectangular raster background in transparent source,fe6ff80efc2e913acb331f88a11a6e39040ce6c94da353e08bc40e7bc9149770,SOURCE-REVIEW
