original_status,triage_result,triage_reason,source_sha256,satellite_position,provider,service_reference,source
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",b158777ffbf6fd3713ff805ac91d46d882ce7eec8a6813e924b0739246febc24,13.0e,cyfrowy-polsat,1_0_2_1C9C_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_2_1C9C_1CE8_71_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",03d2facd063724017eaec6dccd74d5426f56920cac75b728581f6eeda2fab79a,13.0e,cyfrowy-polsat-s-a,1_0_1_C22_1E78_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat-s-a/transparent/1_0_1_C22_1E78_71_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",edf52508e3dc8fa1c0beabe6119e1e58b49cf043ce879783e661cc4e173573c8,13.0e,cyfrowy-polsat-s-a,1_0_2_1CA1_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat-s-a/transparent/1_0_2_1CA1_1CE8_71_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",fe80f0f7a9a661376f83c32f4f9b4e16110c8ad269b78868906a8f4716fdbafd,13.0e,eutelsat,1_0_1_51E_2E7C_13F_820000_0_0_0.png,picons/13.0e/eutelsat/transparent/1_0_1_51E_2E7C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",ad1f49e44fa2b5d6ef8f41934eb57b45b4ecb4947d6f0669504a282ba030db28,13.0e,eutelsat,1_0_1_524_2E7C_13F_820000_0_0_0.png,picons/13.0e/eutelsat/transparent/1_0_1_524_2E7C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",c51f59c076fb04a78af59419f9a68c73e876a53673196b8dc6a218a738861959,13.0e,eutelsat,1_0_1_589_170C_13F_820000_0_0_0.png,picons/13.0e/eutelsat/transparent/1_0_1_589_170C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",9a7e92ce4e6692fac8f3f0411f70cf4d2cf082412b78f7273bc20f2caf02b103,13.0e,globecast,1_0_1_6AC_3138_13E_820000_0_0_0.png,picons/13.0e/globecast/transparent/1_0_1_6AC_3138_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",7656394913b08b9cd78fd56fa3520756cff2ae2862f7360304787eeeaa212a5e,13.0e,harmonic,1_0_1_1C56_1C20_13E_820000_0_0_0.png,picons/13.0e/harmonic/transparent/1_0_1_1C56_1C20_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",8ca777ceb83494454804658d7e8c34f8ec972052dea24e106a65c0a6f01b09c8,13.0e,kabelio-ch,1_0_19_6E_3264_13E_820000_0_0_0.png,picons/13.0e/kabelio-ch/transparent/1_0_19_6E_3264_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",90fbef75ba26ef7d875d70417b198a9c828af5ce0d4d444a58f1969e5eef3f61,13.0e,kabelio-ch,1_0_19_F1_2C24_13E_820000_0_0_0.png,picons/13.0e/kabelio-ch/transparent/1_0_19_F1_2C24_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",51558bf0f714cb1dd6db3aa0aeb830e9eb674b2c3dddd9779365de9c45e481ed,13.0e,kabelio-ch,1_0_1_87_1644_13E_820000_0_0_0.png,picons/13.0e/kabelio-ch/transparent/1_0_1_87_1644_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",a0175d74bf7e8383eb3bb8000b45ccd0bf4b6fd213d294a674679a3d1b421c2a,13.0e,m-three-satcom,1_0_19_215_384_13E_820000_0_0_0.png,picons/13.0e/m-three-satcom/transparent/1_0_19_215_384_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",85a05247fb302347928afbd6081acb4ca7f6c650192f5d76de8e205c07f838cf,13.0e,m-three-satcom,1_0_19_216_384_13E_820000_0_0_0.png,picons/13.0e/m-three-satcom/transparent/1_0_19_216_384_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",99ef7f5dca3d3d6bfeb051c394898597fa4b6ea0bc5999d9a026104a86e571b3,13.0e,m-three-satcom,1_0_2_E44_1C20_13E_820000_0_0_0.png,picons/13.0e/m-three-satcom/transparent/1_0_2_E44_1C20_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",d30c282c37c03fd0d2117c5f1ac5a0570537e700cffb5976a187901be4c39157,13.0e,schweizer-radio-und-fernsehen,1_0_19_4333_300C_13E_820000_0_0_0.png,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_19_4333_300C_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",dfc06998f5df5ecdf8e4ded2207f949246af613cc3503288e95607e61432e3e6,13.0e,schweizer-radio-und-fernsehen,1_0_19_4334_300C_13E_820000_0_0_0.png,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_19_4334_300C_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",c056d5bd8719d55507d4799349cd893ca68e346e03f9a7908b1b2bd0ef1325d3,13.0e,stn,1_0_1_2332_2328_13E_820000_0_0_0.png,picons/13.0e/stn/transparent/1_0_1_2332_2328_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",90dde6989d3043aa31beb7b85481eba9aec310490366cb68ea9d35d348aa4a34,13.0e,svoboda-satellite,1_0_16_69_2FA8_13E_820000_0_0_0.png,picons/13.0e/svoboda-satellite/transparent/1_0_16_69_2FA8_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",389f0854f744e208652b143ad56db092234ad98e3af50faed209fafd4b7a7129,13.0e,svoboda-satellite,1_0_2_CA_2FA8_13E_820000_0_0_0.png,picons/13.0e/svoboda-satellite/transparent/1_0_2_CA_2FA8_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",7afe86c48aa10df8209cda4bbd627f4c04d85eb1531ce08769d57647c114ee77,13.0e,swiss-satellite-radio,1_0_2_4352_300C_13E_820000_0_0_0.png,picons/13.0e/swiss-satellite-radio/transparent/1_0_2_4352_300C_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",7afe86c48aa10df8209cda4bbd627f4c04d85eb1531ce08769d57647c114ee77,13.0e,swiss-satellite-radio,1_0_2_435F_300C_13E_820000_0_0_0.png,picons/13.0e/swiss-satellite-radio/transparent/1_0_2_435F_300C_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",96334ad9b8cf67c18d100350d2c388213cd19dcdf1b6026ba4fcf4833852d308,13.0e,telespazio,1_0_1_1325_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1325_33F4_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",5c4cdb6fdd11d229eaea26bb4618943ad17f71898d2d85587e10fdd6beeb600d,13.0e,telespazio,1_0_1_1362_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1362_33F4_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",ed98cb862c8612f8b2836d195fb238f0ae69365e28f332fc076a534cc0bf4557,13.0e,telespazio,1_0_1_1364_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1364_33F4_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",28d36df20172c6e337448f1529afc2877615daa90dcc11891abdafd244fb3d2f,13.0e,telespazio,1_0_1_1366_33F4_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_1366_33F4_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",2bb27aadcdfcafc0e054502cfd2e407f22b39cad313a8b07ffe59756cbb751e5,13.0e,telespazio,1_0_1_4260_3DB8_13E_820000_0_0_0.png,picons/13.0e/telespazio/transparent/1_0_1_4260_3DB8_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",802f22e7e29710ebba5f24a61f6a0d8aa0bf98f90bafe2f216375ff632e50c34,13.0e,telewizja-polska-s-a,1_0_1_423A_2F44_13E_820000_0_0_0.png,picons/13.0e/telewizja-polska-s-a/transparent/1_0_1_423A_2F44_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",ba44d52287a7afdd47e2f73f032f06508298054b88c9ebdf76f521ac3b98923b,13.0e,vivacom,1_0_16_109_25E4_D5_820000_0_0_0.png,picons/13.0e/vivacom/transparent/1_0_16_109_25E4_D5_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",ed7332d2300937c75c255d632a2867b5e9a4652cb37a76108e531ed711c5731f,13.0e,vivacom,1_0_16_6F_251C_D5_820000_0_0_0.png,picons/13.0e/vivacom/transparent/1_0_16_6F_251C_D5_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",68e1f168df4e12f8a4bd8150da7459a010caf3e4b13f47a19f0ccf381461e4e8,13.0e,vivacom,1_0_16_D2_25E4_D5_820000_0_0_0.png,picons/13.0e/vivacom/transparent/1_0_16_D2_25E4_D5_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",1b40cbccd58044097e4a56e3ed2b415befeee83a043dab79dba578308d5ee97f,13.0e,warner-bros-discovery,1_0_19_3B62_12C_13E_820000_0_0_0.png,picons/13.0e/warner-bros-discovery/transparent/1_0_19_3B62_12C_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",a0cd3f98c4fa98826397776d9e5d64f3846fe37bd8daabf84a5678bbda54969b,14.0w,rscc,1_0_1_1_0_0_D842CDD_0_0_0.png,picons/14.0w/rscc/transparent/1_0_1_1_0_0_D842CDD_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",a0cd3f98c4fa98826397776d9e5d64f3846fe37bd8daabf84a5678bbda54969b,14.0w,rscc,1_0_1_1_12_1_D840000_0_0_0.png,picons/14.0w/rscc/transparent/1_0_1_1_12_1_D840000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",fe6ff80efc2e913acb331f88a11a6e39040ce6c94da353e08bc40e7bc9149770,16.0e,a1-broadcasting,1_0_19_778_C6D4_16E_A00000_0_0_0.png,picons/16.0e/a1-broadcasting/transparent/1_0_19_778_C6D4_16E_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",3d55061a71fcd4f6e9894f1075591e38013441c370cc89a2ce9e7404b7d29c7b,16.0e,a1-hr,1_0_16_716_C5A8_16E_A00000_0_0_0.png,picons/16.0e/a1-hr/transparent/1_0_16_716_C5A8_16E_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",5cf2b6a9acb93c39582700cba96d847b33ca4d388f59247c8d3cda2262ee191c,16.0e,a1-hr,1_0_19_718_C5A8_16E_A00000_0_0_0.png,picons/16.0e/a1-hr/transparent/1_0_19_718_C5A8_16E_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",7b0a1c85930e51b9e3c06c4ef383ef6e8699c1fea5b716b7610b7292b44a81ba,16.0e,a1-hr,1_0_19_719_C5A8_16E_A00000_0_0_0.png,picons/16.0e/a1-hr/transparent/1_0_19_719_C5A8_16E_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",141c0fd0af2e2003123ca6ef8a13d736ae5dd1c5056e6ac3902fb7a77212328e,16.0e,antiksat,1_0_16_57_3_40_A00000_0_0_0.png,picons/16.0e/antiksat/transparent/1_0_16_57_3_40_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",9f0f4e589163222ddc1465b8f7a3954274c00a2f07c7d8e419b06748e3807b7f,16.0e,antiksat,1_0_1_B_1F4_5_A00000_0_0_0.png,picons/16.0e/antiksat/transparent/1_0_1_B_1F4_5_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",5c298ddc738e78f002820fb6f5bd2e09a535e59dc2f84c82bbb71417bb731bc2,16.0e,digitalb,1_0_16_8C0_5014_16E_A00000_0_0_0.png,picons/16.0e/digitalb/transparent/1_0_16_8C0_5014_16E_A00000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",5334af28195c95bf49bbdb58753b7c27797f617f2f8236f56066d48c190be946,16.0e,digitalb,1_0_19_148C_5014_16E_A00000_0_0_0.png,picons/16.0e/digitalb/transparent/1_0_19_148C_5014_16E_A00000_0_0_0.png
